的	〔白勹丶-·-rqyy〕
齒	〔人人-·-hwwb〕
齓	〔人人-·-hwwn〕
齔	〔人人-·-hwwx〕
齕	〔人人-·-hwwn〕
齖	〔人人-·-hwwt〕
齗	〔人人-·-hwwr〕
齘	〔人人-·-hwwj〕
齙	〔人人-·-hwwn〕
齚	〔人人-·-hwwf〕
齛	〔人人-·-hwwn〕
齜	〔人人-·-hwwx〕
齝	〔人人口-·-hwwk〕
齞	〔人人-·-hwww〕
齟	〔人人一-·-hwwg〕
齠	〔人人口-·-hwwk〕
齡	〔人人-·-hwwc〕
齢	〔米-·-hobc〕
齣	〔人人口-·-hwwk〕
齤	〔大-·-udhb〕
齥	〔人人-·-hwwx〕
齦	〔人人-·-hwwe〕
齧	〔丨-·-dhvb〕
齨	〔人人-·-hwwv〕
齩	〔人人-·-hwwq〕
齪	〔人人龰-·-hwwh〕
齫	〔人人-·-hwws〕
齬	〔人人口-·-hwwk〕
齭	〔人人-·-hwwr〕
齮	〔人人口-·-hwwk〕
齯	〔人人-·-hwwq〕
齰	〔人人日-·-hwwj〕
齱	〔人人-·-hwwc〕
齲	〔人人丶-·-hwwy〕
齳	〔人人-·-hwwl〕
齴	〔人人-·-hwwe〕
齵	〔人人丶-·-hwwy〕
齶	〔人人-·-hwwn〕
齷	〔人人土-·-hwwf〕
齸	〔人人-·-hwwl〕
齹	〔-·-udab〕
齺	〔人人-·-hwwt〕
齻	〔人人-·-hwww〕
齼	〔人人龰-·-hwwh〕
齽	〔人人-·-hwwi〕
齾	〔一-·-hagb〕
龁	〔人-·-hwbn〕
龂	〔人-·-hwbr〕
龍	〔⺝一-·-uegd〕
龎	〔⺝-·-dued〕
龏	〔⺝一-·-uega〕
龐	〔⺝-·-yued〕
龑	〔⺝一大-·-uegd〕
龒	〔⺝一-·-uegi〕
龓	〔𠂇⺝-·-deud〕
龔	〔⺝一-·-uegw〕
龕	〔人一口-·-wgkd〕
龖	〔⺝一-·-uegd〕
龗	〔口口-·-fkkd〕
龘	〔⺝一-·-uegd〕
龜	〔一一-·-tmgg〕
龝	〔禾一-·-ttmg〕
龞	〔一-·-umig〕
龡	〔人一口人-·-wgkw〕
龢	〔人一口禾-·-wgkt〕
龣	〔人一口-·-wgki〕
龤	〔人一口白-·-wgkr〕
龥	〔人一口-·-wgkm〕
郎	〔丶-·-yveb〕
凉	〔-·-uyiy〕
秊	〔禾-·-ttfj〕
裏	〔日土-·-yjfe〕
隣	〔米丨-·-boqh〕
兀	〔一-·-gqv〕
嗀	〔一-·-fpgc〕
﨎	〔文亻-·-ywyc〕
﨏	〔土人口-·-fwwk〕
﨑	〔山口-·-mukh〕
﨓	〔亻寸-·-sawf〕
﨔	〔-·-siwr〕
礼	〔-·-finn〕
﨟	〔日-·-aejn〕
蘒	〔禾一-·-attg〕
﨡	〔-·-jtgg〕
﨣	〔土龰-·-fhuf〕
﨤	〔丶辶-·-eyyp〕
﨧	〔土-·-qftb〕
﨨	〔土-·-qfuf〕
﨩	〔亻山-·-bwvm〕
⺁	〔-·-rtt〕
	〔𠂇一-·-dgt〕
	〔一-·-ttg〕
	〔囗囗-·-nnll〕
⺄	〔囗囗-·-nnll〕
㑳	〔亻勹-·-wqbt〕
㑇	〔亻-·-wqvg〕
⺈	〔-·-qtn〕
⺋	〔-·-bnn〕
龴	〔丶-·-cny〕
㖞	〔口口冂人-·-kkmw〕
㘚	〔口-·-kunt〕
㘎	〔口门-·-kunt〕
⺌	〔丨丶-·-ihyt〕
⺗	〔丶-·-nhty〕
㥮	〔勹-·-nqbt〕
㤘	〔-·-nqvg〕
龵	〔一-·-rtgt〕
㧏	〔冂-·-rmqy〕
㧟	〔-·-rian〕
㩳	〔亻-·-rwyc〕
㧐	〔-·-rccy〕
龶	〔一一一-·-gggg〕
龷	〔一丨一-·-aghg〕
㭎	〔冂-·-smqy〕
㱮	〔一口贝-·-gqkm〕
㳠	〔大辶-·-idpy〕
⺧	〔土-·-tfd〕
	〔人-·-dwi〕
龸	〔-·-ipb〕
⺪	〔-·-nhd〕
䁖	〔米女-·-hovg〕
䅟	〔禾厶大-·-tcde〕
⺮	〔一丶-·-ttgy〕
䌷	〔-·-xmg〕
⺳	〔-·-pqb〕
⺶	〔-·-udr〕
⺷	〔王-·-ugf〕
	〔-·-fae〕
䎱	〔-·-dilx〕
䎬	〔厶-·-dilc〕
⺻	〔丨一-·-vhgd〕
䏝	〔丶-·-efny〕
䓖	〔力-·-apwl〕
䙡	〔口-·-pukm〕
䙌	〔口贝-·-pukm〕
龹	〔大-·-udi〕
䜣	〔-·-yrh〕
䜩	〔-·-yauo〕
䝼	〔⺝-·-mgeg〕
䞍	〔贝⺝-·-mgeg〕
⻊	〔口-·-khf〕
䥇	〔丶-·-qynn〕
䥺	〔-·-qaht〕
䥽	〔丶-·-qnty〕
䦂	〔丶-·-qynn〕
䦃	〔土日-·-qafj〕
䦅	〔口-·-qudk〕
䦆	〔-·-qhhc〕
䦟	〔人人土-·-uwwf〕
䦛	〔-·-uqvh〕
䦷	〔门人人土-·-uwwf〕
䦶	〔门-·-uqvh〕
龺	〔-·-fjj〕
	〔-·-oopb〕
䲣	〔-·-haqt〕
䲟	〔-·-qgqb〕
䲠	〔日-·-qgdj〕
䲡	〔一-·-qgug〕
䱷	〔-·-haqt〕
䲢	〔大一-·-eudg〕
䴓	〔一冂丨一-·-gmhg〕
䴔	〔勹一-·-uqqg〕
䴕	〔一刂一-·-gqjg〕
䴖	〔⺝勹一-·-geqg〕
䴗	〔勹一-·-hdqg〕
䴘	〔一-·-rhag〕
䴙	〔口一-·-nkug〕
䶮	〔一大-·-dxgd〕
龻	〔-·-xyxy〕
㐀	〔一一一-·-gjgg〕
㐁	〔一囗人-·-glwi〕
㐂	〔-·-aaab〕
㐃	〔囗丨-·-lhk〕
㐄	〔丨-·-ahk〕
㐅	〔-·-qty〕
㐆	〔-·-rvnv〕
㐇	〔-·-vnb〕
㐈	〔-·-tynb〕
㐉	〔-·-snb〕
㐊	〔-·-fnb〕
㐋	〔土-·-fnb〕
㐌	〔也-·-tbb〕
㐍	〔-·-enb〕
㐎	〔文-·-ynb〕
㐏	〔五-·-gnb〕
㐐	〔女-·-vcnb〕
㐑	〔-·-tunb〕
㐒	〔口-·-vknb〕
㐓	〔口-·-sknb〕
㐔	〔-·-ynb〕
㐕	〔-·-mnb〕
㐖	〔口-·-fknn〕
㐗	〔土-·-ftxn〕
㐘	〔米-·-onb〕
㐙	〔一口-·-gkun〕
㐚	〔五口-·-gknb〕
㐛	〔亻𠂇口-·-wdkn〕
㐜	〔丶-·-fiyv〕
㐝	〔勹口-·-rqkn〕
㐞	〔-·-adwn〕
㐟	〔-·-djdn〕
㐠	〔-·-ebnn〕
㐡	〔冂大-·-vdmd〕
㐢	〔-·-iebn〕
㐣	〔-·-ylnv〕
㐤	〔-·-vfhw〕
㐥	〔-·-qegn〕
㐦	〔一-·-vgnn〕
㐧	〔丶-·-ynht〕
㐨	〔-·-cbcb〕
㐩	〔-·-fjfj〕
㐪	〔人-·-ybwu〕
㐫	〔文-·-ybk〕
㐬	〔厶-·-ycqb〕
㐭	〔囗口-·-ylkf〕
㐮	〔-·-ufje〕
㐯	〔口禾日-·-yktj〕
㐰	〔亻口-·-wkg〕
㐱	〔人-·-wer〕
㐲	〔亻大-·-wdy〕
㐳	〔亻一-·-wgqn〕
㐴	〔亻-·-wqy〕
㐵	〔亻一-·-wgfh〕
㐶	〔亻-·-wnn〕
㐷	〔亻-·-wcg〕
㐸	〔亻人-·-wqwy〕
㐹	〔亻-·-wrnn〕
㐺	〔亻亻人-·-wwwy〕
㐻	〔亻冂人-·-wmwy〕
㐼	〔亻-·-wtah〕
㐽	〔亻-·-wmqy〕
㐾	〔亻-·-wfqn〕
㐿	〔亻-·-wrh〕
㑀	〔亻大丶-·-wdyy〕
㑁	〔亻山-·-wbmh〕
㑂	〔亻一冂人-·-wgmw〕
㑃	〔亻力-·-wxln〕
㑄	〔亻一-·-wxgu〕
㑅	〔亻⺊-·-wthg〕
㑆	〔亻口-·-wkqn〕
㑈	〔亻-·-waiy〕
㑉	〔亻一-·-wmgq〕
㑊	〔亻-·-wyoy〕
㑋	〔亻-·-wmag〕
㑌	〔亻王-·-wagg〕
㑍	〔亻-·-wdiy〕
㑎	〔亻山-·-wvmh〕
㑏	〔亻寸-·-wpfy〕
㑐	〔亻⺊-·-whiy〕
㑑	〔亻-·-wthg〕
㑒	〔人一口人-·-wgkw〕
㑓	〔亻厶𠂇-·-wcdc〕
㑔	〔亻贝-·-wdmy〕
㑕	〔亻山-·-wmqy〕
㑖	〔亻亻口丨-·-wwkh〕
㑗	〔亻-·-wtmt〕
㑘	〔亻-·-waah〕
㑙	〔亻-·-wbnn〕
㑚	〔亻-·-wvfb〕
㑛	〔亻一口-·-wgki〕
㑜	〔亻-·-wrrh〕
㑝	〔亻王-·-wgah〕
㑞	〔亻-·-woah〕
㑟	〔亻一-·-wrgw〕
㑠	〔亻土-·-wjcf〕
㑡	〔亻-·-wvcb〕
㑢	〔亻土厶-·-wfcb〕
㑣	〔亻-·-wssy〕
㑤	〔亻-·-walg〕
㑥	〔亻日勹-·-wjqr〕
㑦	〔亻丶-·-wynd〕
㑧	〔亻禾-·-wtbg〕
㑨	〔亻口大-·-wktd〕
㑩	〔亻-·-wlqy〕
㑪	〔亻文-·-wyjg〕
㑫	〔亻人丶-·-wwyn〕
㑬	〔亻女-·-wvdg〕
㑭	〔亻一-·-wlgj〕
㑮	〔亻-·-wplh〕
㑯	〔亻-·-wdmy〕
㑰	〔亻-·-wxey〕
㑱	〔亻-·-wcbs〕
㑲	〔亻冂-·-wfmf〕
㑴	〔亻-·-wvpc〕
㑵	〔亻大-·-wutd〕
㑶	〔亻米-·-wrno〕
㑷	〔亻厶⺝-·-wcex〕
㑸	〔亻口-·-wdsk〕
㑹	〔人一日-·-wgmj〕
㑺	〔亻亻-·-wwye〕
㑻	〔亻山-·-wpnm〕
㑼	〔亻口-·-wltk〕
㑽	〔亻土-·-wipf〕
㑾	〔亻-·-wqyg〕
㑿	〔亻日-·-wvjs〕
㒀	〔亻冂-·-wumd〕
㒁	〔亻囗土-·-wlff〕
㒂	〔亻土日-·-wafj〕
㒃	〔亻-·-wafm〕
㒄	〔亻-·-wqdo〕
㒅	〔亻-·-wyqe〕
㒆	〔亻人一-·-wwgn〕
㒇	〔亻-·-wrlo〕
㒈	〔亻-·-wnbt〕
㒉	〔亻-·-wips〕
㒊	〔亻丶-·-wvyh〕
㒋	〔亻-·-wadr〕
㒌	〔亻-·-woom〕
㒍	〔亻厶厶-·-wcci〕
㒎	〔亻一大-·-wgdd〕
㒏	〔亻-·-wpfu〕
㒐	〔亻勹日-·-wtqj〕
㒑	〔亻-·-waiy〕
㒒	〔亻一-·-wogw〕
㒓	〔亻土辶-·-wfup〕
㒔	〔亻勹-·-wlqj〕
㒕	〔亻-·-wyxy〕
㒖	〔亻日丶-·-wajy〕
㒗	〔亻土-·-waff〕
㒘	〔亻丨-·-wahu〕
㒙	〔亻白丨-·-wxrh〕
㒚	〔亻-·-wean〕
㒛	〔亻亻-·-wnwy〕
㒜	〔亻一-·-wvgw〕
㒝	〔亻-·-walt〕
㒞	〔亻山亻-·-wmwm〕
㒟	〔亻-·-wyce〕
㒠	〔亻一-·-whqg〕
㒡	〔亻-·-weri〕
㒢	〔亻人一-·-wwga〕
㒣	〔亻亻-·-wywn〕
㒤	〔亻-·-wbbb〕
㒥	〔亻丨-·-wdhu〕
㒦	〔亻土-·-wllf〕
㒧	〔亻文-·-wyby〕
㒨	〔亻-·-wvtn〕
㒩	〔亻-·-wxej〕
㒪	〔人丨-·-wahe〕
㒫	〔一丨-·-ghfq〕
㒬	〔王-·-fqgd〕
㒭	〔口口-·-kqkq〕
㒮	〔-·-fqei〕
㒯	〔-·-iqaf〕
㒰	〔-·-tyaf〕
㒱	〔-·-tyqu〕
㒲	〔日-·-tyjf〕
㒳	〔冂丨-·-mhty〕
㒴	〔山-·-tybm〕
㒵	〔白-·-rwu〕
㒶	〔白-·-wrf〕
㒷	〔人一-·-mwgw〕
㒸	〔-·-ueu〕
㒹	〔-·-fhww〕
㒺	〔冂人-·-muwn〕
㒻	〔-·-jhqb〕
㒼	〔冂丨-·-amhy〕
㒽	〔大-·-judb〕
㒾	〔也-·-jytb〕
㒿	〔文-·-jyby〕
㓀	〔-·-phu〕
㓁	〔-·-pwu〕
㓂	〔女-·-pfqv〕
㓃	〔-·-pyta〕
㓄	〔厶厶厶-·-cccq〕
㓅	〔-·-ush〕
㓆	〔人-·-uwxn〕
㓇	〔大-·-utdy〕
㓈	〔-·-udg〕
㓉	〔-·-utdg〕
㓊	〔冂一口-·-umgk〕
㓋	〔-·-uawy〕
㓌	〔人王-·-uwgg〕
㓍	〔厶-·-uycq〕
㓎	〔-·-uvpc〕
㓏	〔冂口-·-umwk〕
㓐	〔土土-·-ufwf〕
㓑	〔土-·-ufuf〕
㓒	〔人-·-uawn〕
㓓	〔冂-·-ufmf〕
㓔	〔寸-·-utmf〕
㓕	〔一-·-udgt〕
㓖	〔日-·-ujaf〕
㓗	〔丨-·-udhi〕
㓘	〔一丶-·-mgqy〕
㓙	〔文-·-ybk〕
㓚	〔刂-·-ajh〕
㓛	〔-·-avn〕
㓜	〔-·-xvn〕
㓝	〔刂-·-fjjh〕
㓞	〔丨-·-dhvn〕
㓟	〔刂-·-hcjh〕
㓠	〔口刂-·-hkjh〕
㓡	〔山刂-·-rmjh〕
㓢	〔口刂-·-tkjh〕
㓣	〔人一口刂-·-wgkj〕
㓤	〔口刂-·-fkjh〕
㓥	〔刂-·-ivjh〕
㓦	〔日刂-·-djjh〕
㓧	〔人丶刂-·-wynj〕
㓨	〔大人人刂-·-dwwj〕
㓩	〔刂-·-qejh〕
㓪	〔丶-·-yvcv〕
㓫	〔大一刂-·-dgaj〕
㓬	〔大刂-·-udvj〕
㓭	〔日勹人刂-·-jqwj〕
㓮	〔土口刂-·-mfkj〕
㓯	〔刂-·-vljh〕
㓰	〔一刂-·-gmbj〕
㓱	〔人一⺝刂-·-wgej〕
㓲	〔丶冂刂-·-ynmj〕
㓳	〔日一龰刂-·-jghj〕
㓴	〔冂刂-·-dmjj〕
㓵	〔口口刂-·-kkfj〕
㓶	〔丨刂-·-dhvj〕
㓷	〔刂-·-thsj〕
㓸	〔一刂-·-nngj〕
㓹	〔刂-·-dooj〕
㓺	〔文刂-·-hayj〕
㓻	〔一刂-·-lghj〕
㓼	〔人刂-·-swij〕
㓽	〔山刂-·-mpfj〕
㓾	〔刂-·-nirj〕
㓿	〔禾人刂-·-twij〕
㔀	〔日刂-·-jyij〕
㔁	〔一口刂-·-wgkj〕
㔂	〔米刂-·-oqaj〕
㔃	〔-·-xqcv〕
㔄	〔覀米刂-·-sojh〕
㔅	〔刂-·-vfjj〕
㔆	〔刂-·-aqaj〕
㔇	〔刂-·-wxmj〕
㔈	〔刂-·-adjj〕
㔉	〔口刂-·-ntkj〕
㔊	〔囗口刂-·-ylkj〕
㔋	〔丨刂-·-ahnj〕
㔌	〔刂-·-bctj〕
㔍	〔刂-·-thaj〕
㔎	〔亻-·-btwv〕
㔏	〔刂-·-dddj〕
㔐	〔一刂-·-tgdj〕
㔑	〔亻-·-awnv〕
㔒	〔山亻刂-·-mwyj〕
㔓	〔力-·-tfln〕
㔔	〔力口口-·-lkkf〕
㔕	〔力-·-rnln〕
㔖	〔力口-·-lknb〕
㔗	〔力-·-xjln〕
㔘	〔山力-·-bmln〕
㔙	〔力-·-ualn〕
㔚	〔力-·-tdln〕
㔛	〔口力-·-fklb〕
㔜	〔力-·-ebln〕
㔝	〔一冂丨力-·-gmhl〕
㔞	〔力-·-tful〕
㔟	〔力-·-tgvl〕
㔠	〔日勹人力-·-jqwl〕
㔡	〔囗力-·-tlql〕
㔢	〔力-·-xqcl〕
㔣	〔力-·-llll〕
㔤	〔米力-·-ptol〕
㔥	〔厶⺝力-·-lcel〕
㔦	〔力-·-udyl〕
㔧	〔力-·-hall〕
㔨	〔勹⺝-·-quxe〕
㔩	〔勹土厶-·-qfcl〕
㔪	〔勹囗-·-qhlo〕
㔫	〔𠂇-·-dxb〕
㔬	〔-·-xjj〕
㔭	〔日一龰-·-xjgh〕
㔮	〔口-·-akfx〕
㔯	〔口-·-amkd〕
㔰	〔-·-aqhi〕
㔱	〔人-·-avwi〕
㔲	〔人丶-·-awyv〕
㔳	〔人丶-·-awym〕
㔴	〔-·-alaw〕
㔵	〔-·-annw〕
㔶	〔-·-aujm〕
㔷	〔一冂人-·-agmw〕
㔸	〔-·-arhm〕
㔹	〔力-·-fln〕
㔺	〔-·-fafj〕
㔻	〔一-·-gifj〕
㔼	〔亻-·-rwyf〕
㔽	〔囗口-·-hlkf〕
㔾	〔-·-bnn〕
㔿	〔一𠄌丨-·-gnhk〕
㕀	〔-·-mbb〕
㕁	〔𠂇厶-·-qdcb〕
㕂	〔人丶-·-dwyn〕
㕃	〔一-·-dgak〕
㕄	〔一-·-dgxi〕
㕅	〔-·-dlk〕
㕆	〔-·-ddd〕
㕇	〔-·-dud〕
㕈	〔-·-dyei〕
㕉	〔人一口-·-dwgk〕
㕊	〔一⺝丶-·-dgey〕
㕋	〔-·-dqd〕
㕌	〔日一寸-·-djgf〕
㕍	〔亻-·-dwyd〕
㕎	〔土厶-·-dfcl〕
㕏	〔一口-·-dgkf〕
㕐	〔勹-·-dvqo〕
㕑	〔口寸-·-dfkf〕
㕒	〔王-·-dugt〕
㕓	〔土土-·-dlff〕
㕔	〔王-·-dbgn〕
㕕	〔厶厶-·-ccu〕
㕖	〔厶厶厶-·-cccs〕
㕗	〔王厶-·-ugqc〕
㕘	〔厶厶厶-·-ccci〕
㕙	〔厶丶-·-cwty〕
㕚	〔丶丶-·-cyyi〕
㕛	〔-·-ccu〕
㕜	〔口丨-·-khcu〕
㕝	〔-·-dcu〕
㕞	〔冂丨-·-nmhc〕
㕟	〔冂-·-hmac〕
㕠	〔亻-·-uwyc〕
㕡	〔一-·-hpgc〕
㕢	〔一-·-hpgc〕
㕣	〔口-·-wkf〕
㕤	〔口-·-kvn〕
㕥	〔口人-·-kwy〕
㕦	〔口大-·-kdu〕
㕧	〔口-·-knt〕
㕨	〔口丶-·-kmyy〕
㕩	〔口丨-·-kdhh〕
㕪	〔口-·-kpqn〕
㕫	〔口-·-kyn〕
㕬	〔口厶-·-kwcy〕
㕭	〔口大-·-ktdy〕
㕮	〔口-·-kwqy〕
㕯	〔冂人口-·-mwkd〕
㕰	〔口-·-ktfn〕
㕱	〔口-·-kdnn〕
㕲	〔口-·-ksy〕
㕳	〔口-·-kqbh〕
㕴	〔口-·-kpmn〕
㕵	〔口王-·-kgg〕
㕶	〔口五-·-kgg〕
㕷	〔口白-·-krg〕
㕸	〔口-·-kug〕
㕹	〔口-·-kdcy〕
㕺	〔口口一-·-kkgn〕
㕻	〔口-·-yikf〕
㕼	〔口勹-·-kqqn〕
㕽	〔口𠄌丶人-·-knyw〕
㕾	〔口-·-ikxb〕
㕿	〔禾口-·-tkf〕
㖀	〔口丨-·-kvfh〕
㖁	〔口𠂇厶-·-kqdc〕
㖂	〔口日-·-kjnt〕
㖃	〔口一口-·-krgk〕
㖄	〔口丶丨-·-kyth〕
㖅	〔口一-·-kdgt〕
㖆	〔口-·-kmag〕
㖇	〔口冂-·-kdmj〕
㖈	〔土口-·-ftxk〕
㖉	〔口人-·-kwhg〕
㖊	〔口寸-·-kvfy〕
㖋	〔人口-·-wjkx〕
㖌	〔亻口-·-wvkx〕
㖍	〔口-·-ufkx〕
㖎	〔口人-·-kxwj〕
㖏	〔口日土-·-kjfg〕
㖐	〔口口-·-kkvt〕
㖑	〔口-·-kaah〕
㖒	〔口-·-kuxt〕
㖓	〔口丨-·-ktdh〕
㖔	〔口一大口-·-kgdk〕
㖕	〔口-·-kuh〕
㖖	〔口-·-ukf〕
㖗	〔口山人-·-kmwn〕
㖘	〔口-·-kdfe〕
㖙	〔力口口-·-lkkx〕
㖚	〔亻寸口-·-wfkx〕
㖛	〔口-·-dkxb〕
㖜	〔口-·-ykxb〕
㖝	〔口-·-fikx〕
㖟	〔口-·-kepc〕
㖠	〔口大-·-kdfi〕
㖡	〔口亻丶-·-kywy〕
㖢	〔口-·-kyhx〕
㖣	〔口口-·-kukg〕
㖤	〔口-·-kbib〕
㖥	〔口囗禾-·-klty〕
㖦	〔口一日-·-kgji〕
㖧	〔口日-·-kqaj〕
㖨	〔口-·-kviy〕
㖩	〔口-·-kbcy〕
㖪	〔口口-·-kakg〕
㖫	〔口土-·-kfwt〕
㖬	〔口-·-kvcy〕
㖭	〔口一大-·-kgdn〕
㖮	〔口人一-·-kwga〕
㖯	〔冂一口-·-mgkx〕
㖰	〔口冂口-·-kxmk〕
㖱	〔亻口-·-ywtk〕
㖲	〔女口口-·-vkkx〕
㖳	〔女口-·-ivkx〕
㖴	〔口勹-·-kaqr〕
㖵	〔口-·-khwy〕
㖶	〔口覀土-·-ksfg〕
㖷	〔口日一龰-·-kjgh〕
㖸	〔口一-·-khag〕
㖹	〔口-·-kwvl〕
㖺	〔口人日-·-kdwj〕
㖻	〔口-·-kcbs〕
㖼	〔口-·-kafs〕
㖽	〔口-·-kdmy〕
㖾	〔口口-·-kkut〕
㖿	〔口-·-kbbh〕
㗀	〔口山-·-kxxm〕
㗁	〔口口口-·-kkkn〕
㗂	〔口-·-kith〕
㗃	〔口日-·-knaj〕
㗄	〔口-·-klyn〕
㗅	〔口-·-kdeg〕
㗆	〔口-·-kafh〕
㗇	〔口丨-·-knhc〕
㗈	〔口力-·-kcel〕
㗉	〔丨口-·-dhvk〕
㗊	〔口口口口-·-kkkk〕
㗋	〔口大-·-kqdd〕
㗌	〔口一土-·-kpgf〕
㗍	〔口禾日-·-ktjg〕
㗎	〔口力口-·-klks〕
㗏	〔口一-·-kgih〕
㗐	〔口大丶-·-kdyl〕
㗑	〔口-·-krdf〕
㗒	〔口-·-kyey〕
㗓	〔口亻辶-·-kwnp〕
㗔	〔口文-·-khay〕
㗕	〔口土-·-kfjf〕
㗖	〔口-·-kevg〕
㗗	〔口力白-·-klrf〕
㗘	〔口一寸-·-kgef〕
㗙	〔口勹-·-kqbt〕
㗚	〔口覀-·-kssy〕
㗛	〔口大-·-kttd〕
㗜	〔口-·-kyxl〕
㗝	〔口王-·-kugo〕
㗞	〔口-·-kdhc〕
㗟	〔丶王-·-iygx〕
㗠	〔女厶口-·-vckx〕
㗡	〔亻-·-awex〕
㗢	〔口一力-·-ktgl〕
㗣	〔口丨-·-kaqh〕
㗤	〔⺊口-·-dhik〕
㗥	〔口-·-kybb〕
㗦	〔口-·-kbqb〕
㗧	〔口土-·-kpwf〕
㗨	〔大口-·-atdk〕
㗩	〔口白-·-knrg〕
㗪	〔口-·-khxi〕
㗫	〔口-·-kwfi〕
㗬	〔口-·-ipkq〕
㗭	〔口米-·-kton〕
㗮	〔口人-·-qkyw〕
㗯	〔土日-·-ftjx〕
㗰	〔口人龰-·-ktwh〕
㗱	〔口亻-·-kwys〕
㗲	〔口土一-·-kvfg〕
㗳	〔口人口-·-ktwk〕
㗴	〔口-·-kueg〕
㗵	〔口人-·-koow〕
㗶	〔口-·-kwxc〕
㗷	〔口贝-·-kpfm〕
㗸	〔口-·-ktrh〕
㗹	〔口亻-·-kwyn〕
㗺	〔口一大-·-kgdd〕
㗻	〔口辶-·-kmnp〕
㗼	〔口一-·-kogw〕
㗽	〔丶口-·-xtyk〕
㗾	〔口-·-kafx〕
㗿	〔口口-·-kusk〕
㘀	〔口米-·-kvoy〕
㘁	〔口土-·-klff〕
㘂	〔口-·-kuxn〕
㘃	〔口𠂇-·-kadn〕
㘄	〔口-·-ksly〕
㘅	〔口-·-ktqh〕
㘆	〔口口土-·-kfkf〕
㘇	〔口-·-koos〕
㘈	〔口龰-·-kxth〕
㘉	〔口-·-ktvb〕
㘊	〔口-·-kfyg〕
㘋	〔口丨-·-kahm〕
㘌	〔口刂-·-khaj〕
㘍	〔口亻-·-kiwa〕
㘏	〔-·-uthx〕
㘐	〔口-·-kcuq〕
㘑	〔口-·-kffi〕
㘒	〔禾一-·-ttgx〕
㘓	〔口一-·-kugi〕
㘔	〔口-·-kpfm〕
㘕	〔口-·-kaal〕
㘖	〔口-·-kutm〕
㘗	〔口-·-khhy〕
㘘	〔口-·-xyxk〕
㘙	〔口口口-·-kkkt〕
㘛	〔口人一-·-kwgd〕
㘜	〔亻口-·-wyyk〕
㘝	〔囗-·-lci〕
㘞	〔囗力-·-llv〕
㘟	〔囗-·-lak〕
㘠	〔囗-·-lnte〕
㘡	〔囗-·-llk〕
㘢	〔囗-·-liqv〕
㘣	〔囗口⺝-·-lked〕
㘤	〔囗一-·-lijg〕
㘥	〔囗-·-leri〕
㘦	〔土力-·-fln〕
㘧	〔土-·-fcbh〕
㘨	〔土冂人-·-fmwy〕
㘩	〔土-·-fxxn〕
㘪	〔土-·-ftfn〕
㘫	〔土-·-ffjh〕
㘬	〔土勹厶-·-fqcy〕
㘭	〔土-·-fxnn〕
㘮	〔土-·-fnyy〕
㘯	〔土力-·-ftln〕
㘰	〔土-·-fufh〕
㘱	〔土冂土-·-fmfg〕
㘲	〔土-·-fnvn〕
㘳	〔土-·-uxff〕
㘴	〔口人土-·-kwfd〕
㘵	〔土𠂇冂丨-·-fdmh〕
㘶	〔丨土-·-qahf〕
㘷	〔土-·-faqy〕
㘸	〔一土-·-gqxf〕
㘹	〔土-·-hxff〕
㘺	〔土亻-·-fwat〕
㘻	〔土囗大-·-fldy〕
㘼	〔土土-·-fftn〕
㘽	〔土-·-fafd〕
㘾	〔土一-·-fpgf〕
㘿	〔土日土-·-fjfg〕
㙀	〔土-·-fpwv〕
㙁	〔土-·-ftxu〕
㙂	〔土口-·-fukq〕
㙃	〔土一-·-frgw〕
㙄	〔土土-·-fxxf〕
㙅	〔土口-·-fksy〕
㙆	〔土𠂇厶-·-fpdc〕
㙇	〔土丶-·-feyy〕
㙈	〔土-·-fham〕
㙉	〔土-·-fmaw〕
㙊	〔土-·-fdey〕
㙋	〔土-·-fadw〕
㙌	〔土-·-fvij〕
㙍	〔土-·-fccc〕
㙎	〔土一-·-fdgt〕
㙏	〔土日-·-ftjt〕
㙐	〔土山-·-fmdj〕
㙑	〔口冂土-·-tkmf〕
㙒	〔土-·-lcbf〕
㙓	〔土土土土-·-ffff〕
㙔	〔土丨丨-·-fnhh〕
㙕	〔土⺝-·-fleg〕
㙖	〔土口丶-·-ftky〕
㙗	〔土一-·-flge〕
㙘	〔土覀女-·-fsvg〕
㙙	〔土-·-idnf〕
㙚	〔土王丨-·-fugh〕
㙛	〔土一寸-·-fgef〕
㙜	〔冂口土-·-ymkf〕
㙝	〔土力力⺝-·-flle〕
㙞	〔土-·-fths〕
㙟	〔土丶-·-fyve〕
㙠	〔大土-·-atdf〕
㙡	〔土人龰-·-ftwh〕
㙢	〔土冂-·-famy〕
㙣	〔土-·-fxde〕
㙤	〔土-·-fhah〕
㙥	〔土口-·-fuke〕
㙦	〔人土-·-wtuf〕
㙧	〔土一-·-fgjl〕
㙨	〔土-·-fxxt〕
㙩	〔土大-·-fdui〕
㙪	〔土-·-ffpu〕
㙫	〔土亻-·-fwys〕
㙬	〔人人土-·-swwf〕
㙭	〔土人-·-fduw〕
㙮	〔土人口-·-ftwk〕
㙯	〔土土厶-·-fwfc〕
㙰	〔土-·-qevf〕
㙱	〔口一土-·-kgnf〕
㙲	〔土-·-fyxy〕
㙳	〔土一-·-fdgn〕
㙴	〔土-·-fqdy〕
㙵	〔土冂土-·-fymf〕
㙶	〔土-·-yipf〕
㙷	〔土日-·-fjxo〕
